Source,ID
National Review,1117
Weekly Standard,18658
The Blaze,22088
breitbart,19334
drudge report,N/A
gateway pundit,1722
daily caller,18775
Washington Examiner,6443
NY Post,7
Townhall,759
NewsMax,25349
NY Daily News,N/A
American Conservative,6276
Washington Times,101
The Federalist,N/A
Fox,1092
Reason,129
Wall Street Journal,1150
Guardian,1751
The Economist,1106
Daily Kos,115
Buzzfeed,6218
CNN,1095
MSNBC,1149
Bloomberg,104995
The Hill,18364
The Atlantic,1110
Washington Post,2
NPR,1096
Chicago Tribune,9
Boston Globe,1757
Huffington Post,17502
Vox,104828
Mother Jones,1112
